Batch,LFU,LRU,Hyperbolic,ARC,Caffeine
591,3194,3268,3695,3784,3759
592,2843,2960,3463,3639,3612
593,3085,3080,3562,3793,3867
594,3072,3190,3788,3984,3994
595,2689,3204,3612,3692,3857
596,3219,3097,3575,3688,3672
597,2858,3009,3421,3572,3636
598,3271,3602,3866,4069,4096
599,2731,3349,3543,3958,3702
600,2886,2886,3184,3324,3455
601,3196,3155,3558,3829,3811
602,2924,2833,3330,3525,3496
603,3209,3039,3615,3882,3784
604,3250,3173,3678,3816,3783
605,3322,3514,3940,4180,4202
606,2910,3171,3648,3855,3872
607,3385,3883,4073,4473,4261
608,3211,3297,3725,3867,3828
609,3201,3114,3632,3866,3893
610,3291,3369,3779,4030,4004
611,3173,3242,3791,3939,3954
612,3381,3378,3958,4091,3927
613,2765,3261,3666,3785,3652
614,2753,2945,3362,3597,3542
615,3198,3457,3905,4126,4118
616,3585,3609,4143,4487,4160
617,3384,3346,3952,4142,4006
618,3155,3230,3726,3823,3785
619,3009,3139,3595,3602,3726
620,3365,3485,3919,4091,4103
621,3286,3122,3707,3908,3851
622,3232,3335,3832,4011,3831
623,3126,3413,3846,4103,4056
624,4080,4373,4789,4934,4920
625,3287,3288,3349,3487,3844
626,3328,3143,3459,3907,3832
627,3289,3389,3826,4200,4080
628,3273,3347,3941,4203,4115
629,3451,3470,3848,4089,3958
630,3479,3391,3912,4104,4029
631,3287,3321,3845,3952,3968
632,3400,3446,3871,4130,3971
633,3021,2997,3509,3704,3629
634,2974,3406,3832,3964,3914
635,3140,3333,3681,3739,3839
636,3498,3543,3967,4198,4108
637,2880,2947,3533,3620,3595
638,3175,3091,3692,3925,3928
639,3320,3546,4051,4100,4212
640,3255,3323,3836,3966,4148
641,2773,2998,3404,3432,3639
642,3065,2767,3383,3506,3696
643,3166,3035,3658,3845,3923
644,2986,2830,3466,3636,3690
645,3285,3220,3833,4082,4102
646,2937,3266,3649,3811,3591
647,3191,3295,3823,4037,4110
648,3371,3516,3978,4235,4273
649,3325,6162,6470,6528,5710
650,3424,4708,4892,4957,5123
651,2916,3265,3169,3554,3493
652,3663,3548,3515,4031,4078
653,3449,4016,4139,4674,4612
654,3651,3709,3913,4405,4414
655,3331,3284,3679,3989,4180
656,3438,3601,4053,4394,4353
657,3258,3216,3813,3915,4006
658,3290,3217,3839,4070,4040
659,3277,3011,3701,4051,3903
660,3267,3192,3707,3823,3982
661,2847,3386,3883,3997,4058
662,2881,2841,3243,3372,3330
663,3389,3592,3953,4178,4261
664,3129,3115,3549,3693,3761
665,3257,3180,3731,3935,3973
666,3036,2861,3431,3589,3598
667,2958,3246,3742,3875,3899
668,3278,3241,3649,3976,4041
669,2954,3166,3504,3730,3847
670,3515,3611,4012,4290,4401
671,3139,3226,3797,4042,4079
672,3196,6790,6644,6753,6726
673,2895,4131,4183,4251,4147
674,3044,3036,2860,3399,3270
675,3239,3172,3237,3710,3710
676,3244,3132,3387,4003,3912
677,3092,3373,3575,3883,4188
678,2953,2951,3330,3651,3816
679,2704,3146,3439,3700,3876
680,2878,2832,3308,3507,3741
681,3164,3357,3698,3908,4136
682,3185,3386,3757,3924,4056
683,3126,3229,3596,3799,3933
684,3157,3139,3683,3823,4108
685,3138,3127,3570,3701,3980
686,3042,3115,3606,3858,3847
687,3560,3849,4225,4500,4607
688,3391,3356,3785,4130,4020
